potential_mV,current_uA
-1000.0,0.05609434159508863
-995.0,0.02995031787519009
-990.0,0.06650902391612915
-985.0,0.07106129432782428
-980.0,0.013979296226923274
-975.0,0.027706409862753644
-970.0,0.057056808063345704
-965.0,0.04892514815312836
-960.0,0.055663976849914226
-955.0,0.0396891214485284
-950.0,0.07508795949725658
-945.0,0.07380583870857897
-940.0,0.060320613951224324
-935.0,0.08229482413936066
-930.0,0.06985018684504092
-925.0,0.0440641507423354
-920.0,0.06937501568165248
-915.0,0.04357234798345416
-910.0,0.08106900602656134
-905.0,0.06325148178480862
-900.0,0.061302752773320694
-895.0,0.0521314094979752
-890.0,0.0909508297890166
-885.0,0.06415943143645936
-880.0,0.05943357539229497
-875.0,0.061708066867563485
-870.0,0.08014987927595145
-865.0,0.07757544366003305
-860.0,0.07932107383224447
-855.0,0.08060478433913365
-850.0,0.11609840420502485
-845.0,0.06732128098687966
-840.0,0.06941111457391022
-835.0,0.07148879410111547
-830.0,0.11461597453235924
-825.0,0.14820118319232245
-820.0,0.1561212843673256
-815.0,0.18103994108385085
-810.0,0.2205563814637032
-805.0,0.2795618306000336
-800.0,0.29286508342406886
-795.0,0.27891306020964346
-790.0,0.2267358116317541
-785.0,0.2069862970844358
-780.0,0.16673394970323765
-775.0,0.13749550927248488
-770.0,0.12872496163981312
-765.0,0.10273615964156667
-760.0,0.10523424041677887
-755.0,0.09030116270434979
-750.0,0.09404784016141529
-745.0,0.10111412879574679
-740.0,0.059923305203211374
-735.0,0.08337313804560545
-730.0,0.08109624247902855
-725.0,0.07847318091246124
-720.0,0.08649728681102344
-715.0,0.12264884730252332
-710.0,0.07618338070167112
-705.0,0.11361556747788364
-700.0,0.0613426046119098
-695.0,0.08905229940481818
-690.0,0.09975506130251599
-685.0,0.10897444662721971
-680.0,0.11222453159585961
-675.0,0.11461694470399868
-670.0,0.09252549855503127
-665.0,0.09100296414670866
-660.0,0.11815951762514308
-655.0,0.0979239135023677
-650.0,0.07698627353324157
-645.0,0.08058425571993039
-640.0,0.08561095427996776
-635.0,0.11469321488107528
-630.0,0.1083485147214113
-625.0,0.12005970708135535
-620.0,0.09845494707326931
-615.0,0.11092079382153429
-610.0,0.12101180787934673
-605.0,0.10306306920559523
-600.0,0.11913550475114823
